time,rate
Dec-19,"1,175.84"
Jan-20,"1,164.28"
Feb-20,"1,193.79"
Mar-20,"1,220.09"
Apr-20,"1,225.23"
May-20,"1,228.67"
Jun-20,"1,210.01"
Jul-20,"1,198.90"
Aug-20,"1,186.85"
Sep-20,"1,178.80"
Oct-20,"1,144.68"
Nov-20,"1,116.76"
Dec-20,"1,095.13"
Jan-21,"1,097.49"
Feb-21,"1,111.72"
Mar-21,"1,131.02"
Apr-21,"1,119.40"
May-21,"1,123.28"
Jun-21,"1,121.30"
Jul-21,"1,143.98"
Aug-21,"1,160.34"
Sep-21,"1,169.54"
Oct-21,"1,182.82"
Nov-21,"1,182.91"
Dec-21,"1,183.70"
Jan-22,"1,194.01"
Feb-22,"1,198.34"
Mar-22,"1,221.03"
Apr-22,"1,232.34"
May-22,"1,269.88"
Jun-22,"1,277.35"
Jul-22,"1,307.40"
Aug-22,"1,318.44"
Sep-22,"1,391.59"
Oct-22,"1,426.66"
Nov-22,"1,364.10"
Dec-22,"1,296.22"
Jan-23,"1,247.25"
Feb-23,"1,270.74"
Mar-23,"1,305.73"
